"0","#Criando o padrao de pontos a ser plotado"
"0","Houston_ppp = ppp(houston_limit$lon, houston_limit$lat,window=HCL )"
"2","45 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","#---------------criando pontos por delitos-------------------------------"
"0","hagg_ppp = ppp(hagg$lon, hagg$lat,window=HCL )"
"2","8 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","hrobbery_ppp = ppp(hrobbery$lon, hrobbery$lat,window=HCL )"
"2","10 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","hmurder_ppp = ppp(hmurder$lon,hmurder$lat,window=HCL )"
"2","2 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","hauto_ppp = ppp(hauto$lon, hauto$lat,window=HCL )"
"2","12 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","hrape_ppp = ppp(hrape$lon, hrape$lat,window=HCL )"
"2","7 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","hburglary_ppp = ppp(hburglary$lon, hburglary$lat,window=HCL )"
"2","6 points were rejected as lying outside the specified window"
"2","data contain duplicated points"
"0","#--------------------------------------------------------------------"
